original_variable,used_variable,transformation,short_note,change_explanation
VT22F,VT22F,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
VT22X,VT22X,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
MSTATUS,MSTATUS,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
MA2,MA2,raw,Original variable kept,No transformation was applied. The original variable was kept in its original form for screening and modelling.
MA3,MA3,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
disability,disability,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
AF10,AF10,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
AF11,AF11,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
AF12,AF12,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
TA1,TA1,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
TA14,TA14,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
LS1,LS1,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
LS2,LS2,raw,Original variable kept,No transformation was applied. The original variable was kept in its original form for screening and modelling.
LS3,LS3,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
LS4,LS4,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
CSURV,CSURV,raw,Original variable kept,No transformation was applied. The original variable was kept in its original form for screening and modelling.
CDEAD,CDEAD_log1p,log1p,Applied log(x+1),A log(x+1) transformation was applied because the variable was treated as a more continuous score/count variable with a right-skewed distribution. This transformation reduces skewness while preserving the ordering of values.
HC4,HC4,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC5,HC5,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC8,HC8,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC11,HC11,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC12,HC12,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC13,HC13,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC14,HC14,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC15,HC15,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC17,HC17,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HC19,HC19,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
TN1,TN1,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
WS1,WS1,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
WS3,WS3,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
WS4,WS4,raw,Original variable kept,No transformation was applied. The original variable was kept in its original form for screening and modelling.
WS7,WS7,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
WS11,WS11,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
WS14,WS14,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
WS15,WS15,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
HW5,HW5,raw_non_numeric_or_empty,Other,Other transformation or no explanation specified.
